"","Date.Rptd","date","TIME.OCC","AREA","AREA.NAME","Crm.Cd","Crm.Cd.Desc","Vict.Age","Vict.Sex","Vict.Descent","Premis.Cd","Premis.Desc","Weapon.Used.Cd","Weapon.Desc","Status","Status.Desc","LAT","LON"
"1","03/22/2020 12:00:00 AM",2020-03-22,430,4,"Hollenbeck",626,"INTIMATE PARTNER - SIMPLE ASSAULT",27,"F","H",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",34.0436,-118.2051
"2","03/26/2020 12:00:00 AM",2020-03-26,1435,4,"Hollenbeck",230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",23,"M","H",102,"SIDEWALK",102,"HAND GUN","IC","Invest Cont",34.0707,-118.2103
"3","03/28/2020 12:00:00 AM",2020-03-28,1645,10,"West Valley",761,"BRANDISH WEAPON",24,"F","W",124,"BUS STOP",208,"RAZOR","IC","Invest Cont",34.1866,-118.5535
"4","03/25/2020 12:00:00 AM",2020-03-25,400,1,"Central",820,"ORAL COPULATION",52,"M","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0381,-118.2401
"5","03/23/2020 12:00:00 AM",2020-03-23,1530,1,"Central",624,"BATTERY - SIMPLE ASSAULT",36,"F","H",210,"RESTAURANT/FAST FOOD",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0606,-118.2439
"6","03/24/2020 12:00:00 AM",2020-03-24,1845,1,"Central",230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",43,"M","W",101,"STREET",311,"HAMMER","IC","Invest Cont",34.0428,-118.2461
"7","03/22/2020 12:00:00 AM",2020-03-22,1600,4,"Hollenbeck",624,"BATTERY - SIMPLE ASSAULT",24,"M","H",104,"DRIVEWAY",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",34.0602,-118.198
"8","03/24/2020 12:00:00 AM",2020-03-24,540,1,"Central",624,"BATTERY - SIMPLE ASSAULT",52,"F","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0449,-118.2458
"9","03/20/2020 12:00:00 AM",2020-03-19,2100,1,"Central",230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",51,"F","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0419,-118.2708
"10","03/21/2020 12:00:00 AM",2020-03-21,745,1,"Central",624,"BATTERY - SIMPLE ASSAULT",40,"F","B",406,"OTHER STORE",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0473,-118.2566
"11","04/02/2020 12:00:00 AM",2020-04-02,1450,7,"Wilshire",220,"ATTEMPTED ROBBERY",17,"M","H",101,"STREET",113,"SIMULATED GUN","JA","Juv Arrest",34.0339,-118.3747
"12","03/24/2020 12:00:00 AM",2020-03-24,2315,2,"Rampart",210,"ROBBERY",47,"M","H",109,"PARK/PLAYGROUND",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0628,-118.2811
"13","03/29/2020 12:00:00 AM",2020-03-29,1150,3,"Southwest",230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",43,"M","H",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0145,-118.298
"14","03/20/2020 12:00:00 AM",2020-03-20,1335,1,"Central",210,"ROBBERY",69,"M","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0461,-118.2476
"15","03/21/2020 12:00:00 AM",2020-03-21,1900,1,"Central",210,"ROBBERY",26,"F","A",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0444,-118.2593
"16","04/02/2020 12:00:00 AM",2020-04-02,2150,3,"Southwest",230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",50,"M","B",108,"PARKING LOT",218,"OTHER CUTTING INSTRUMENT","IC","Invest Cont",34.0176,-118.3458
"17","03/24/2020 12:00:00 AM",2020-03-24,1915,2,"Rampart",230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",51,"M","H",101,"STREET",307,"VEHICLE","IC","Invest Cont",34.0763,-118.2613
"18","03/29/2020 12:00:00 AM",2020-03-29,1420,1,"Central",624,"BATTERY - SIMPLE ASSAULT",39,"M","H",903,"MTA - RED LINE - 7TH AND METRO CENTER",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0509,-118.2585
"19","03/21/2020 12:00:00 AM",2020-03-21,20,1,"Central",230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",25,"M","W",101,"STREET",312,"PIPE/METAL PIPE","IC","Invest Cont",34.0375,-118.27
"20","03/25/2020 12:00:00 AM",2020-03-25,1540,1,"Central",624,"BATTERY - SIMPLE ASSAULT",41,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0382,-118.2384
"21","03/24/2020 12:00:00 AM",2020-03-24,1550,6,"Hollywood",624,"BATTERY - SIMPLE ASSAULT",20,"F","B",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0944,-118.3277
"22","03/25/2020 12:00:00 AM",2020-03-25,1120,6,"Hollywood",624,"BATTERY - SIMPLE ASSAULT",40,"M","O",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0998,-118.3211
"23","04/02/2020 12:00:00 AM",2020-04-02,825,2,"Rampart",626,"INTIMATE PARTNER - SIMPLE ASSAULT",32,"F","B",103,"ALLEY",308,"STICK","AO","Adult Other",34.0517,-118.2798
"24","03/25/2020 12:00:00 AM",2020-03-25,1610,2,"Rampart",624,"BATTERY - SIMPLE ASSAULT",54,"M","H",301,"GAS STATION",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0763,-118.2917
"25","03/23/2020 12:00:00 AM",2020-03-23,2130,1,"Central",761,"BRANDISH WEAPON",27,"M","H",102,"SIDEWALK",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",34.0491,-118.2558
"26","03/19/2020 12:00:00 AM",2020-03-19,1000,7,"Wilshire",626,"INTIMATE PARTNER - SIMPLE ASSAULT",23,"F","O",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",34.0601,-118.3629
"27","03/20/2020 12:00:00 AM",2020-03-20,1635,10,"West Valley",230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",39,"M","H",102,"SIDEWALK",101,"REVOLVER","AA","Adult Arrest",34.1921,-118.4836
"28","03/19/2020 12:00:00 AM",2020-03-19,1140,8,"West LA",624,"BATTERY - SIMPLE ASSAULT",54,"M","W",501,"SINGLE FAMILY DWELLING",500,"UNKNOWN WEAPON/OTHER WEAPON","AO","Adult Other",34.0331,-118.411
"29","03/28/2020 12:00:00 AM",2020-03-28,1650,1,"Central",761,"BRANDISH WEAPON",31,"M","H",727,"SHOPPING MALL (COMMON AREA)",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",34.0468,-118.2415
"30","03/25/2020 12:00:00 AM",2020-03-25,2300,1,"Central",624,"BATTERY - SIMPLE ASSAULT",29,"M","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",34.0474,-118.2531
