"","Date.Rptd","date","TIME.OCC","AREA","AREA.NAME","Crm.Cd","Crm.Cd.Desc","Vict.Age","Vict.Sex","Vict.Descent","Premis.Cd","Premis.Desc","Weapon.Used.Cd","Weapon.Desc","Status","Status.Desc","LAT","LON"
"1","03/13/2020 12:00:00 AM",2020-03-13,1330,4,"Hollenbeck",236,"INTIMATE PARTNER - AGGRAVATED ASSAULT",46,"F","H",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",34.0811,-118.1614
"2","03/17/2020 12:00:00 AM",2020-03-17,1915,13,"Newton",753,"DISCHARGE FIREARMS/SHOTS FIRED",23,"M","H",101,"STREET",109,"SEMI-AUTOMATIC PISTOL","IC","Invest Cont",33.9833,-118.2696
"3","03/18/2020 12:00:00 AM",2020-03-16,2250,1,"Central",310,"BURGLARY",67,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",34.0655,-118.2372
"4","03/07/2020 12:00:00 AM",2020-03-07,1130,4,"Hollenbeck",624,"BATTERY - SIMPLE ASSAULT",81,"M","H",103,"ALLEY",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",34.0259,-118.2081
"5","03/16/2020 12:00:00 AM",2020-03-15,2000,4,"Hollenbeck",627,"CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT",12,"F","H",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",34.0378,-118.2066
"6","03/18/2020 12:00:00 AM",2020-03-18,1244,5,"Harbor",761,"BRANDISH WEAPON",10,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",114,"AIR PISTOL/REVOLVER/RIFLE/BB GUN","AA","Adult Arrest",33.7415,-118.2945
"7","03/18/2020 12:00:00 AM",2020-03-18,1000,5,"Harbor",930,"CRIMINAL THREATS - NO WEAPON DISPLAYED",50,"F","H",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",33.7831,-118.2596
"8","03/07/2020 12:00:00 AM",2020-03-07,1140,5,"Harbor",624,"BATTERY - SIMPLE ASSAULT",14,"M","H",108,"PARKING LOT",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",33.7419,-118.2879
"9","03/17/2020 12:00:00 AM",2020-03-17,1625,3,"Southwest",210,"ROBBERY",19,"X","X",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",34.0164,-118.2851
"10","03/10/2020 12:00:00 AM",2020-03-10,15,2,"Rampart",230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",42,"M","B",301,"GAS STATION",219,"SCREWDRIVER","AO","Adult Other",34.0909,-118.2893
